Session_ID,User_ID,Date,Traffic_Source,Page,Device,Country,New_or_Returning,Session_Duration_Min,Pages_Per_Session,Bounce_Rate,Goal_Completions,Conversion_Rate
S100028,U14118,2026-01-01,Organic Search,Checkout,Desktop,India,Returning,5.07,3.6,57.7,0,0
S106334,U16198,2026-01-01,Social Media,Contact Us,Desktop,India,New,3.5,2.7,63.01,0,0
S102901,U15898,2026-01-01,Organic Search,About Us,Mobile,Australia,New,7.24,5.1,61.04,0,0
S100762,U15349,2026-01-01,Paid Search,Checkout,Mobile,UK,Returning,3.96,4.0,63.18,0,0
S108497,U14115,2026-01-01,Paid Search,Blog,Desktop,USA,New,4.48,3.6,70.78,0,0
S100814,U14805,2026-01-01,Organic Search,Pricing,Mobile,Canada,New,3.84,4.3,52.73,0,0
S109555,U15467,2026-01-01,Organic Search,Product Details,Mobile,India,Returning,9.08,5.6,60.32,0,0
S109587,U11657,2026-01-01,Social Media,Home,Mobile,India,New,5.72,4.7,58.34,0,0
S103079,U13260,2026-01-01,Organic Search,Blog,Desktop,India,New,1.28,1.3,63.04,0,0
S103158,U12097,2026-01-01,Direct,Home,Mobile,India,New,3.06,2.0,78.19,0,0
S100740,U14286,2026-01-01,Paid Search,Products,Desktop,India,New,5.06,4.8,48.0,0,0
S107175,U15015,2026-01-02,Social Media,Home,Desktop,India,New,3.57,4.1,59.79,0,0
S102404,U13365,2026-01-02,Organic Search,Product Details,Desktop,USA,Returning,19.99,11.3,11.28,0,0
S106664,U15975,2026-01-02,Organic Search,Home,Mobile,Canada,Returning,5.74,3.7,48.83,0,0
S101412,U10328,2026-01-02,Organic Search,Home,Tablet,India,Returning,8.13,4.2,38.32,0,0
S100018,U10770,2026-01-02,Paid Search,Contact Us,Desktop,India,Returning,13.16,9.3,30.54,0,0
S109547,U12263,2026-01-02,Social Media,Home,Desktop,USA,Returning,5.5,5.0,55.54,0,0
S105888,U10733,2026-01-02,Direct,Product Details,Desktop,Canada,New,6.64,5.2,44.08,0,0
S100016,U10131,2026-01-02,Referral,Product Details,Mobile,India,New,4.19,2.9,67.32,1,100
S106947,U14479,2026-01-02,Referral,Pricing,Mobile,Canada,New,3.13,4.7,59.11,0,0
S107887,U13203,2026-01-02,Organic Search,Home,Desktop,India,Returning,1.49,2.8,65.93,0,0
S105510,U13540,2026-01-02,Organic Search,Products,Desktop,Australia,Returning,5.41,4.3,65.93,0,0
S104039,U11768,2026-01-02,Organic Search,Products,Mobile,USA,New,4.98,4.5,58.19,0,0
S101833,U15290,2026-01-02,Paid Search,Pricing,Mobile,India,New,10.42,7.0,46.28,0,0
S105451,U12851,2026-01-02,Organic Search,Home,Mobile,Australia,Returning,5.24,3.7,75.72,0,0
S109078,U15612,2026-01-02,Paid Search,Services,Mobile,India,New,4.6,3.9,49.98,0,0
S108644,U14912,2026-01-02,Organic Search,Home,Mobile,India,New,5.02,4.1,70.32,0,0
S100426,U11410,2026-01-02,Direct,Pricing,Desktop,Australia,New,12.79,9.5,37.22,0,0
S102652,U14108,2026-01-02,Organic Search,Product Details,Desktop,India,Returning,4.7,4.5,57.82,0,0
S101620,U15914,2026-01-02,Social Media,Contact Us,Mobile,UK,Returning,2.98,3.5,71.78,0,0
S103523,U11532,2026-01-02,Organic Search,Services,Desktop,India,Returning,4.65,3.3,77.65,0,0
S102462,U16442,2026-01-02,Organic Search,Product Details,Desktop,UK,New,3.59,2.0,61.65,1,100
S108693,U15699,2026-01-02,Organic Search,Home,Mobile,India,Returning,7.64,5.5,51.74,0,0
S105383,U15249,2026-01-02,Paid Search,Services,Mobile,India,Returning,4.0,2.0,62.32,1,100
S102479,U13977,2026-01-02,Paid Search,FAQ,Desktop,India,Returning,16.81,10.3,17.05,0,0
S101497,U13925,2026-01-02,Direct,Product Details,Desktop,Canada,New,3.44,4.0,53.17,0,0
S103759,U14094,2026-01-02,Referral,Home,Mobile,India,New,2.44,1.6,79.12,0,0
S109737,U13783,2026-01-02,Direct,Product Details,Desktop,India,New,1.29,2.5,76.03,0,0
S101600,U13153,2026-01-02,Direct,Home,Desktop,India,New,5.4,3.4,54.02,0,0
S105657,U15458,2026-01-02,Direct,Home,Mobile,India,New,6.98,5.5,41.48,0,0
S107296,U10788,2026-01-02,Referral,Blog,Mobile,India,New,4.81,3.3,59.28,0,0
S106281,U12124,2026-01-02,Paid Search,Services,Mobile,India,Returning,1.69,2.9,60.18,0,0
S107480,U15905,2026-01-02,Organic Search,About Us,Mobile,India,Returning,7.07,4.9,47.79,0,0
S101983,U14445,2026-01-02,Referral,Home,Desktop,India,Returning,3.09,3.8,72.3,0,0
S101336,U15976,2026-01-02,Paid Search,Product Details,Desktop,Australia,Returning,4.45,4.3,50.27,0,0
S103270,U16166,2026-01-02,Organic Search,Pricing,Desktop,India,New,1.87,3.3,55.53,0,0
S104656,U14592,2026-01-02,Organic Search,Product Details,Desktop,USA,New,4.54,2.9,60.29,0,0
S106641,U14572,2026-01-02,Organic Search,Home,Mobile,India,New,1.11,2.0,72.79,0,0
S106185,U14559,2026-01-02,Paid Search,Blog,Desktop,India,New,5.76,3.9,42.42,0,0
S104502,U14106,2026-01-02,Referral,Contact Us,Desktop,Australia,New,8.41,6.0,63.48,0,0
S104718,U12525,2026-01-02,Organic Search,Product Details,Desktop,India,Returning,5.35,6.7,52.95,0,0
S100010,U14427,2026-01-02,Direct,Product Details,Mobile,USA,New,5.55,5.4,58.52,1,100
S104106,U10183,2026-01-02,Direct,Pricing,Mobile,India,Returning,3.21,3.1,54.64,0,0
S103331,U12556,2026-01-02,Direct,Home,Tablet,India,New,8.01,6.3,51.87,0,0
S100558,U11632,2026-01-02,Organic Search,Products,Mobile,India,Returning,2.25,2.0,76.04,0,0
S106239,U12967,2026-01-02,Organic Search,Product Details,Desktop,India,New,5.83,3.0,51.0,0,0
S106320,U12147,2026-01-02,Organic Search,Blog,Tablet,USA,New,4.17,2.9,69.75,0,0
S108891,U15562,2026-01-02,Paid Search,Home,Desktop,India,New,9.23,5.5,50.19,0,0
S109708,U13825,2026-01-02,Paid Search,Product Details,Mobile,UK,New,5.85,6.1,51.05,0,0
S104066,U13645,2026-01-02,Referral,Pricing,Mobile,India,Returning,7.52,7.2,44.72,0,0
S108299,U11205,2026-01-02,Direct,Product Details,Tablet,USA,New,4.2,3.7,47.01,0,0
S102044,U10936,2026-01-03,Organic Search,Services,Mobile,India,New,8.48,5.6,39.3,0,0
S104228,U12669,2026-01-03,Paid Search,Pricing,Desktop,India,New,1.1,2.1,70.78,0,0
S104479,U16218,2026-01-03,Referral,Product Details,Desktop,India,New,3.07,2.6,52.58,0,0
S104477,U14233,2026-01-03,Paid Search,Products,Desktop,UK,Returning,2.01,1.5,67.04,0,0
S104275,U14637,2026-01-03,Paid Search,Services,Mobile,India,New,4.09,3.5,52.27,0,0
S107217,U16061,2026-01-03,Organic Search,About Us,Desktop,Canada,Returning,8.13,5.9,47.87,0,0
S104229,U11879,2026-01-03,Paid Search,Services,Mobile,India,New,7.36,5.9,54.56,0,0
S107710,U13399,2026-01-03,Organic Search,About Us,Desktop,India,New,8.39,6.2,50.15,0,0
S107620,U15416,2026-01-03,Direct,About Us,Mobile,Australia,New,6.32,5.4,50.64,0,0
S104501,U11197,2026-01-03,Paid Search,Blog,Mobile,India,New,3.05,2.6,68.33,0,0
S104823,U12607,2026-01-03,Referral,Blog,Mobile,Australia,New,1.1,1.1,81.13,0,0
S100006,U15735,2026-01-03,Direct,Home,Tablet,India,New,3.4,3.9,56.23,0,0
S108488,U14121,2026-01-03,Referral,Pricing,Desktop,Canada,New,11.88,6.4,41.29,0,0
S103694,U13312,2026-01-03,Paid Search,Product Details,Mobile,Australia,New,2.8,1.8,79.41,0,0
S109028,U10727,2026-01-03,Direct,Blog,Desktop,USA,Returning,5.42,5.3,63.34,0,0
S104893,U13850,2026-01-03,Paid Search,Services,Mobile,India,New,5.78,3.8,60.33,0,0
S104906,U11178,2026-01-03,Referral,Pricing,Desktop,India,Returning,4.98,6.1,49.49,0,0
S100536,U12142,2026-01-03,Organic Search,Product Details,Mobile,India,Returning,2.22,2.1,71.99,0,0
S106522,U15216,2026-01-03,Organic Search,FAQ,Desktop,India,Returning,2.64,2.7,63.08,0,0
S102300,U14471,2026-01-03,Paid Search,Pricing,Mobile,India,New,5.62,5.3,68.49,0,0
S104962,U12260,2026-01-03,Paid Search,Blog,Desktop,India,New,20.74,11.6,12.87,1,100
S104145,U16469,2026-01-03,Direct,Services,Desktop,India,New,7.46,4.1,57.83,0,0
S109000,U12934,2026-01-03,Social Media,Products,Desktop,UK,Returning,5.84,3.2,72.71,0,0
S104153,U14233,2026-01-03,Organic Search,Pricing,Tablet,India,New,6.45,3.8,74.1,0,0
S107558,U15954,2026-01-03,Organic Search,Products,Tablet,India,Returning,1.8,3.2,61.47,0,0
S107351,U10732,2026-01-03,Referral,Contact Us,Tablet,India,New,8.55,5.8,33.7,0,0
S101949,U14965,2026-01-03,Organic Search,Contact Us,Mobile,India,New,6.22,4.2,61.97,0,0
S102190,U13053,2026-01-03,Social Media,Blog,Tablet,India,New,7.46,4.9,51.35,0,0
S109869,U14708,2026-01-03,Organic Search,Products,Desktop,India,Returning,8.37,7.7,34.8,0,0
S101652,U14460,2026-01-03,Referral,Home,Mobile,Canada,Returning,8.91,4.7,68.11,0,0
S102433,U15922,2026-01-03,Organic Search,FAQ,Desktop,Australia,Returning,2.36,1.3,76.82,0,0
S109169,U11583,2026-01-03,Referral,Pricing,Desktop,USA,Returning,4.19,3.1,49.87,0,0
S106874,U13623,2026-01-03,Social Media,Checkout,Desktop,India,Returning,3.14,3.3,63.77,0,0
S102600,U11932,2026-01-03,Referral,FAQ,Desktop,Canada,New,2.41,3.7,83.1,0,0
S108272,U16444,2026-01-03,Paid Search,Products,Desktop,UK,Returning,4.33,2.8,78.48,0,0
S109446,U13124,2026-01-03,Organic Search,Home,Mobile,India,New,3.65,2.9,66.77,0,0
S100996,U14622,2026-01-03,Referral,FAQ,Mobile,India,New,7.55,4.9,39.25,0,0
S109978,U12106,2026-01-03,Social Media,About Us,Desktop,India,New,13.72,7.1,34.43,0,0
S108211,U13030,2026-01-03,Direct,Home,Desktop,India,New,1.36,2.6,62.65,0,0
S109551,U11109,2026-01-03,Organic Search,Product Details,Desktop,USA,New,4.48,3.9,59.62,0,0
S106114,U12038,2026-01-03,Direct,Contact Us,Mobile,Australia,New,4.71,3.3,61.76,0,0
S100927,U14139,2026-01-03,Organic Search,FAQ,Desktop,India,New,4.89,3.3,75.11,0,0
S103294,U11178,2026-01-03,Organic Search,Checkout,Desktop,India,New,3.64,2.7,57.64,0,0
S109263,U10927,2026-01-03,Direct,Pricing,Mobile,Australia,Returning,6.63,6.2,53.26,0,0
S108158,U13965,2026-01-03,Referral,Checkout,Mobile,India,New,7.96,4.5,54.46,0,0
S107065,U16281,2026-01-03,Direct,Product Details,Tablet,Australia,New,9.2,7.5,38.86,0,0
S106941,U14977,2026-01-03,Organic Search,Pricing,Desktop,India,Returning,6.57,6.0,53.35,0,0
S108113,U12087,2026-01-03,Organic Search,Contact Us,Desktop,India,Returning,4.38,4.2,63.25,0,0
S108243,U15263,2026-01-03,Organic Search,Pricing,Mobile,India,Returning,3.17,2.6,52.72,0,0
S103344,U13340,2026-01-03,Organic Search,Contact Us,Mobile,India,New,2.81,2.6,65.44,0,0
S109382,U13013,2026-01-03,Organic Search,Home,Tablet,Canada,New,15.41,9.0,18.75,0,0
S103165,U15106,2026-01-03,Organic Search,About Us,Desktop,India,Returning,4.87,3.7,64.03,0,0
S106005,U15553,2026-01-03,Referral,Home,Mobile,UK,Returning,2.67,2.2,64.64,0,0
S106046,U14288,2026-01-03,Referral,Pricing,Desktop,India,New,6.56,6.5,52.48,0,0
S103296,U15998,2026-01-03,Organic Search,Home,Mobile,Australia,Returning,13.95,9.2,40.57,1,100
S107600,U10229,2026-01-04,Referral,Services,Mobile,USA,New,4.5,5.2,59.16,0,0
S105948,U14892,2026-01-04,Organic Search,About Us,Mobile,India,New,5.13,4.6,52.31,0,0
S101394,U11902,2026-01-04,Referral,Home,Mobile,USA,New,5.82,4.8,56.59,0,0
S104171,U13900,2026-01-04,Organic Search,FAQ,Desktop,India,New,16.67,9.6,26.99,0,0
S107793,U14079,2026-01-04,Direct,Product Details,Desktop,Canada,New,4.62,1.4,53.39,0,0
S103436,U16417,2026-01-04,Social Media,Pricing,Mobile,India,New,2.25,1.1,73.9,0,0
S108533,U13190,2026-01-04,Paid Search,Pricing,Mobile,India,New,8.13,4.4,52.52,0,0
S108588,U15820,2026-01-04,Paid Search,Products,Mobile,India,Returning,3.61,1.2,65.32,0,0
S103298,U16358,2026-01-04,Direct,Blog,Mobile,India,Returning,7.89,4.9,60.79,0,0
S104579,U13181,2026-01-04,Paid Search,About Us,Mobile,India,Returning,1.98,2.7,68.34,0,0
S102307,U14613,2026-01-04,Paid Search,Home,Desktop,India,New,2.56,1.2,74.0,0,0
S109029,U11245,2026-01-04,Paid Search,Pricing,Mobile,India,Returning,5.67,3.7,66.54,0,0
S101852,U12404,2026-01-04,Paid Search,Home,Desktop,Canada,New,1.14,1.0,69.12,0,0
S106619,U12365,2026-01-04,Paid Search,Home,Desktop,Canada,Returning,3.64,4.1,69.78,0,0
S102189,U14006,2026-01-04,Referral,Pricing,Mobile,India,New,7.38,4.7,59.42,0,0
S101993,U12254,2026-01-04,Social Media,Products,Mobile,India,New,10.28,4.8,51.12,1,100
S103412,U10588,2026-01-04,Referral,About Us,Mobile,India,New,1.9,1.3,55.67,0,0
S101551,U16213,2026-01-04,Social Media,Services,Desktop,India,New,2.26,2.0,72.31,0,0
S106330,U16402,2026-01-04,Organic Search,Services,Tablet,UK,Returning,4.82,5.6,55.08,0,0
S108464,U16365,2026-01-04,Social Media,Blog,Mobile,India,New,2.07,1.0,70.25,0,0
S102948,U12991,2026-01-04,Organic Search,Services,Desktop,India,New,1.99,1.6,81.28,0,0
S107510,U14175,2026-01-04,Organic Search,FAQ,Tablet,India,Returning,0.89,1.5,57.11,0,0
S109031,U13719,2026-01-04,Referral,About Us,Mobile,India,New,10.15,6.8,40.76,0,0
S106501,U14060,2026-01-04,Referral,Pricing,Desktop,India,New,3.39,1.7,74.02,0,0
S107894,U13768,2026-01-04,Paid Search,Contact Us,Mobile,Australia,New,4.66,3.3,44.16,0,0
S105080,U12331,2026-01-04,Organic Search,Products,Desktop,India,New,13.68,7.3,42.38,0,0
S106618,U13214,2026-01-04,Organic Search,Blog,Desktop,India,New,2.93,1.9,64.88,0,0
S109611,U12516,2026-01-04,Direct,Contact Us,Mobile,Australia,New,3.35,2.8,58.01,0,0
S102485,U12426,2026-01-04,Referral,Home,Desktop,India,New,1.71,1.0,79.67,0,0
S109652,U14549,2026-01-04,Paid Search,Home,Mobile,India,New,16.85,11.2,13.35,0,0
S106730,U14876,2026-01-04,Direct,Product Details,Tablet,Canada,New,3.55,4.8,56.17,0,0
S105407,U12582,2026-01-04,Social Media,Services,Mobile,India,New,2.94,3.2,67.08,0,0
S109591,U11705,2026-01-04,Referral,Home,Mobile,India,New,8.06,6.9,50.49,0,0
S105526,U11449,2026-01-04,Direct,Blog,Desktop,UK,Returning,15.09,10.2,28.93,0,0
S100959,U12394,2026-01-04,Direct,FAQ,Mobile,India,New,4.0,4.9,36.25,0,0
S100429,U13176,2026-01-04,Social Media,Products,Tablet,USA,New,9.18,6.0,62.92,0,0
S108913,U11075,2026-01-04,Organic Search,Checkout,Desktop,India,New,7.54,5.1,56.94,0,0
S108033,U11937,2026-01-04,Social Media,Home,Mobile,India,New,1.3,2.7,86.7,0,0
S107258,U12978,2026-01-04,Paid Search,Blog,Mobile,India,New,3.22,2.8,52.47,0,0
S101680,U12033,2026-01-04,Referral,Product Details,Mobile,UK,New,9.16,6.2,30.28,0,0
S103726,U12703,2026-01-04,Organic Search,Services,Desktop,India,Returning,5.02,3.3,61.06,0,0
S109563,U16259,2026-01-04,Organic Search,Pricing,Mobile,Australia,New,2.37,2.7,66.91,0,0
S108013,U11173,2026-01-04,Organic Search,Services,Mobile,India,Returning,2.25,2.0,77.2,0,0
S107554,U13237,2026-01-04,Paid Search,Contact Us,Desktop,India,New,2.99,3.1,63.01,0,0
S102550,U11915,2026-01-04,Organic Search,Checkout,Mobile,India,New,4.31,4.2,56.5,0,0
S109190,U12004,2026-01-04,Organic Search,About Us,Desktop,Australia,Returning,6.12,2.5,63.32,0,0
S100943,U11888,2026-01-04,Direct,Product Details,Mobile,India,New,10.46,6.4,47.09,0,0
S108552,U11105,2026-01-04,Direct,FAQ,Desktop,UK,New,5.27,4.3,56.3,1,100
S109423,U14870,2026-01-04,Referral,Services,Mobile,UK,New,3.95,2.5,72.53,0,0
S108160,U10309,2026-01-04,Social Media,Pricing,Mobile,India,New,7.3,6.5,54.82,0,0
S101787,U10955,2026-01-04,Direct,Pricing,Desktop,India,New,3.86,3.4,55.64,0,0
S107989,U15854,2026-01-04,Referral,Blog,Mobile,India,New,6.88,2.7,52.09,0,0
S101425,U15620,2026-01-04,Paid Search,Product Details,Mobile,India,Returning,3.72,4.6,58.65,1,100
S103204,U11720,2026-01-04,Organic Search,Products,Tablet,India,New,6.04,3.5,61.24,0,0
S104472,U12802,2026-01-04,Social Media,Products,Mobile,India,Returning,2.04,2.0,72.19,0,0
S103265,U12658,2026-01-04,Social Media,Checkout,Mobile,India,New,1.85,1.6,62.03,0,0
S104313,U15648,2026-01-04,Direct,Checkout,Desktop,India,New,2.93,3.8,64.65,0,0
S104692,U12801,2026-01-05,Organic Search,Contact Us,Desktop,India,New,7.59,6.7,48.15,0,0
S104367,U15188,2026-01-05,Organic Search,Home,Desktop,India,Returning,5.26,3.7,57.45,0,0
S109865,U16358,2026-01-05,Organic Search,Services,Desktop,India,Returning,2.14,2.9,59.02,1,100
S102056,U13175,2026-01-05,Organic Search,Checkout,Desktop,India,New,4.66,5.4,46.22,0,0
S102161,U12980,2026-01-05,Paid Search,Home,Mobile,India,New,4.73,2.8,53.18,0,0
S106838,U15868,2026-01-05,Organic Search,Products,Mobile,UK,New,5.5,3.9,43.34,0,0
S106831,U14477,2026-01-05,Social Media,Home,Tablet,India,New,4.38,2.8,60.65,0,0
S102025,U12044,2026-01-05,Direct,Home,Mobile,India,New,4.77,2.0,61.68,0,0
S101946,U10989,2026-01-05,Social Media,Services,Mobile,UK,New,5.99,6.2,37.96,0,0
S106556,U14884,2026-01-05,Organic Search,Home,Mobile,India,New,4.71,3.2,62.44,0,0
S103663,U11801,2026-01-05,Paid Search,Contact Us,Mobile,India,New,10.07,4.6,54.19,0,0
S108474,U15191,2026-01-05,Paid Search,Blog,Tablet,USA,Returning,3.29,4.5,58.82,0,0
S103582,U13137,2026-01-05,Paid Search,Contact Us,Mobile,USA,Returning,6.7,5.0,49.18,0,0
S103561,U15155,2026-01-05,Direct,Home,Desktop,USA,New,2.4,4.0,64.19,0,0
S106736,U15162,2026-01-05,Direct,Products,Desktop,USA,Returning,11.72,7.6,31.52,0,0
S106473,U14283,2026-01-05,Organic Search,Product Details,Desktop,India,Returning,2.69,3.2,72.75,0,0
S103076,U10594,2026-01-05,Organic Search,Home,Desktop,USA,New,1.59,1.9,73.25,0,0
S107035,U10306,2026-01-05,Organic Search,Home,Mobile,India,New,4.82,5.5,50.39,0,0
S108710,U13977,2026-01-05,Referral,Home,Mobile,India,New,3.73,1.3,63.48,0,0
S107330,U10791,2026-01-05,Organic Search,Product Details,Mobile,UK,New,5.19,2.3,67.4,0,0
S102900,U10370,2026-01-05,Organic Search,Home,Tablet,India,New,2.62,2.5,68.95,0,0
S105100,U16122,2026-01-05,Paid Search,Products,Mobile,Australia,New,7.53,5.2,54.42,0,0
S107028,U11515,2026-01-05,Social Media,Home,Tablet,India,New,6.93,3.5,53.84,0,0
S109952,U15610,2026-01-05,Referral,Checkout,Mobile,USA,New,9.28,6.3,43.61,1,100
S106554,U13810,2026-01-05,Direct,Pricing,Mobile,India,New,2.84,3.3,64.44,1,100
S105056,U13075,2026-01-05,Social Media,Products,Mobile,India,New,5.48,5.7,52.1,0,0
S108784,U10523,2026-01-05,Organic Search,Product Details,Mobile,India,New,3.47,3.0,64.61,0,0
S106620,U15831,2026-01-05,Organic Search,Blog,Desktop,India,New,0.67,2.2,68.05,0,0
S102653,U10561,2026-01-05,Paid Search,About Us,Mobile,India,New,2.97,1.1,69.71,0,0
S101902,U10687,2026-01-05,Organic Search,Products,Mobile,India,New,4.32,2.3,82.4,1,100
S104120,U15591,2026-01-05,Organic Search,Product Details,Desktop,India,New,4.38,3.0,63.96,0,0
S104950,U13677,2026-01-05,Paid Search,Home,Desktop,India,Returning,3.99,3.6,56.41,0,0
S104011,U14222,2026-01-05,Organic Search,Home,Desktop,India,New,3.19,1.0,77.89,0,0
S105949,U14993,2026-01-05,Social Media,Blog,Tablet,Australia,New,3.72,3.5,57.27,0,0
S105902,U15832,2026-01-05,Direct,Product Details,Tablet,Australia,New,4.52,2.8,72.66,0,0
S109328,U11508,2026-01-05,Paid Search,Home,Desktop,UK,Returning,1.85,2.5,77.89,0,0
S108638,U12242,2026-01-05,Organic Search,Pricing,Mobile,Canada,New,2.12,1.1,64.51,1,100
S101365,U10952,2026-01-05,Direct,FAQ,Desktop,India,Returning,4.87,5.5,49.78,0,0
S107852,U10152,2026-01-05,Social Media,Product Details,Mobile,UK,New,5.68,3.7,62.64,0,0
S108620,U11426,2026-01-05,Organic Search,Contact Us,Mobile,India,Returning,1.28,1.1,67.84,0,0
S108589,U12045,2026-01-06,Paid Search,Home,Mobile,India,Returning,3.71,2.8,62.95,0,0
S102596,U12960,2026-01-06,Organic Search,Home,Mobile,India,New,9.66,7.7,34.38,0,0
S103596,U11574,2026-01-06,Social Media,Product Details,Mobile,Canada,Returning,5.93,6.1,61.6,1,100
S103557,U11086,2026-01-06,Referral,Product Details,Desktop,USA,Returning,5.81,4.0,45.09,0,0
S100431,U15597,2026-01-06,Social Media,Product Details,Mobile,India,New,5.53,5.6,42.13,0,0
S108354,U13758,2026-01-06,Referral,Home,Desktop,UK,New,4.5,3.3,53.2,0,0
S103170,U12660,2026-01-06,Paid Search,Products,Mobile,Canada,Returning,11.26,7.5,19.72,0,0
S108308,U15803,2026-01-06,Organic Search,Products,Mobile,India,Returning,5.19,4.9,60.31,0,0
S108727,U13128,2026-01-06,Paid Search,FAQ,Tablet,India,New,7.39,6.6,41.78,0,0
S100407,U11185,2026-01-06,Paid Search,Contact Us,Tablet,USA,Returning,6.03,3.6,69.22,1,100
S103910,U12187,2026-01-06,Organic Search,Home,Tablet,India,New,0.36,1.4,72.58,0,0
